Date,Actual,Predicted
2015-09-08,[35.91505432],35.60078956604004
2015-09-09,[35.4438858],36.24797199249267
2015-09-10,[35.79948425],36.038261909484866
2015-09-11,[35.96839142],35.83041969299316
2015-09-14,[35.87949371],36.192856521606444
2015-09-15,[36.34175873],35.86455749511719
2015-09-16,[36.49287415],36.067953491210936
2015-09-17,[36.24397659],36.23943252563477
2015-09-18,[35.77336121],36.288330192565915
2015-09-21,[36.13056564],36.67097282409668
2015-09-22,[35.52331543],36.07768356323242
2015-09-23,[35.61262131],35.9539134979248
2015-09-24,[35.61262131],35.72111198425293
2015-09-25,[35.55010605],35.873500213623046
2015-09-28,[34.73749161],35.359632682800296
2015-09-29,[34.58567047],35.60296794891357
2015-09-30,[35.27328873],35.714990310668945
2015-10-01,[35.29114532],35.41931838989258
2015-10-02,[35.79122543],35.487334747314456
2015-10-05,[36.49668503],35.84526226043701
2015-10-06,[36.54133224],36.09708045959473
2015-10-07,[36.71099854],36.381047286987304
2015-10-08,[36.88066864],36.587149658203124
2015-10-09,[37.04140472],36.72111873626709
2015-10-12,[37.08607101],36.55590503692627
2015-10-13,[37.00569153],36.7295405960083
2015-10-14,[36.93424988],36.646605339050296
2015-10-15,[37.407547],36.78254062652588
2015-10-16,[37.47898102],37.17715835571289
2015-10-19,[37.62186432],37.30145473480225
2015-10-20,[37.52362823],37.46924999237061
2015-10-21,[37.23786926],37.41419979095459
2015-10-22,[38.07727814],37.423080596923825
2015-10-23,[39.13995361],37.48103012084961
2015-10-26,[38.98814392],37.86082439422607
2015-10-27,[38.76489639],38.46136528015137
2015-10-28,[39.34533691],37.91180923461914
2015-10-29,[39.23817444],37.944045028686524
2015-10-30,[38.9792099],37.32056262969971
2015-11-02,[39.32748413],38.80212833404541
2015-11-03,[39.53287506],39.09431900024414
2015-11-04,[39.57752609],38.95233448028564
2015-11-05,[39.46143341],39.08074882507324
2015-11-06,[39.59537506],39.408568420410155
2015-11-09,[39.21139145],39.18817367553711
2015-11-10,[38.95240784],39.22907329559326
2015-11-11,[38.93455505],39.38829330444336
2015-11-12,[38.59520721],39.100655975341795
2015-11-13,[37.83616257],38.82632045745849
2015-11-16,[38.41661835],38.7578303527832
